feature,importance,importance_pct
vol,0.5315336591411324,53.15336486756621
hour_cos,0.052517849195282906,5.25178481612487
dow_cos,0.04464213466599176,4.464213378702404
dow_sin,0.03959083490190096,3.9590834122389262
humidity_pct_d1,0.02766190049260331,2.7661899947962736
temp_c,0.027631272003418417,2.7631271459380895
hour_sin,0.02619125269848155,2.619125218279685
humidity_pct,0.0245910403518792,2.4591039867701396
temp_c_d1,0.02263322294311365,2.2633222497483696
pressure_hpa,0.020924201429807,2.0924201017826305
rain_mm,0.020398506325705057,2.0398505924074875
wind_ms,0.01992341568984557,1.9923415297569538
pressure_hpa_d1,0.017043560417732806,1.704356008215881
wind_dir_sin,0.016319145387569733,1.6319145066258887
cloud_total_10,0.015877632611591252,1.5877632298973439
rain_mm_d1,0.014473494587946334,1.4473494302974867
cloud_total_10_d1,0.01445794661515265,1.445794633048731
snow_cm,0.014410011095606023,1.4410010811884497
wind_ms_d1,0.014328453045891365,1.432845276377565
wind_dir_cos,0.013909226347095682,1.3909226073234204
snow_cm_d1,0.012956174390637898,1.2956174135541245
is_weekend,0.004183020075288368,0.41830199929280676
month_sin,0.0026491004682611674,0.264910041610251
month_cos,0.0008586996045778506,0.08586995876707461
spot_id,0.0002942652026831638,0.029426519688931865
